"subject_id","story","relationship","next_interaction","likert_rating"
"08242f49f6588339ce37c66847074815","feedback","no_info","none",6
"0482e44db24f2e4b9a712721521f3e5b","meeting location","symmetric","repeating",7
"0482e44db24f2e4b9a712721521f3e5b","meeting location","symmetric","alternating",7
"0482e44db24f2e4b9a712721521f3e5b","meeting location","symmetric","none",1
"0482e44db24f2e4b9a712721521f3e5b","restaurant","asymmetric","repeating",5
"0482e44db24f2e4b9a712721521f3e5b","restaurant","asymmetric","alternating",5
"0482e44db24f2e4b9a712721521f3e5b","restaurant","asymmetric","none",4
"0482e44db24f2e4b9a712721521f3e5b","feedback","no_info","repeating",6
"0482e44db24f2e4b9a712721521f3e5b","feedback","no_info","alternating",6
"0482e44db24f2e4b9a712721521f3e5b","feedback","no_info","none",1
"0482e44db24f2e4b9a712721521f3e5b","architects","no_info","repeating",7
"0482e44db24f2e4b9a712721521f3e5b","architects","no_info","alternating",4
"0482e44db24f2e4b9a712721521f3e5b","architects","no_info","none",1
"0482e44db24f2e4b9a712721521f3e5b","weekend","asymmetric","repeating",1
"0482e44db24f2e4b9a712721521f3e5b","weekend","asymmetric","alternating",1
"0482e44db24f2e4b9a712721521f3e5b","weekend","asymmetric","none",4
"0482e44db24f2e4b9a712721521f3e5b","police","asymmetric","repeating",6
"0482e44db24f2e4b9a712721521f3e5b","police","asymmetric","alternating",4
"0482e44db24f2e4b9a712721521f3e5b","police","asymmetric","none",2
"0482e44db24f2e4b9a712721521f3e5b","conversation","no_info","repeating",4
"0482e44db24f2e4b9a712721521f3e5b","conversation","no_info","alternating",4
"0482e44db24f2e4b9a712721521f3e5b","conversation","no_info","none",4
"0482e44db24f2e4b9a712721521f3e5b","meeting prep","asymmetric","repeating",7
"0482e44db24f2e4b9a712721521f3e5b","meeting prep","asymmetric","alternating",2
"0482e44db24f2e4b9a712721521f3e5b","meeting prep","asymmetric","none",4
"0482e44db24f2e4b9a712721521f3e5b","coffee","asymmetric","repeating",4
"0482e44db24f2e4b9a712721521f3e5b","coffee","asymmetric","alternating",4
"0482e44db24f2e4b9a712721521f3e5b","coffee","asymmetric","none",3
"0482e44db24f2e4b9a712721521f3e5b","housemates","symmetric","repeating",7
"0482e44db24f2e4b9a712721521f3e5b","housemates","symmetric","alternating",7
"0482e44db24f2e4b9a712721521f3e5b","housemates","symmetric","none",1
"0482e44db24f2e4b9a712721521f3e5b","babysitting","no_info","repeating",7
"0482e44db24f2e4b9a712721521f3e5b","babysitting","no_info","alternating",7
"0482e44db24f2e4b9a712721521f3e5b","babysitting","no_info","none",1
"0482e44db24f2e4b9a712721521f3e5b","concerts","no_info","repeating",7
"0482e44db24f2e4b9a712721521f3e5b","concerts","no_info","alternating",7
"0482e44db24f2e4b9a712721521f3e5b","concerts","no_info","none",1
"0482e44db24f2e4b9a712721521f3e5b","groceries","symmetric","repeating",7
"0482e44db24f2e4b9a712721521f3e5b","groceries","symmetric","alternating",7
"0482e44db24f2e4b9a712721521f3e5b","groceries","symmetric","none",1
"0482e44db24f2e4b9a712721521f3e5b","gifts","asymmetric","repeating",6
"0482e44db24f2e4b9a712721521f3e5b","gifts","asymmetric","alternating",6
"0482e44db24f2e4b9a712721521f3e5b","gifts","asymmetric","none",4
"0482e44db24f2e4b9a712721521f3e5b","family meals","no_info","repeating",4
"0482e44db24f2e4b9a712721521f3e5b","family meals","no_info","alternating",4
"0482e44db24f2e4b9a712721521f3e5b","family meals","no_info","none",1
"0482e44db24f2e4b9a712721521f3e5b","fundraising","symmetric","repeating",7
"0482e44db24f2e4b9a712721521f3e5b","fundraising","symmetric","alternating",7
"0482e44db24f2e4b9a712721521f3e5b","fundraising","symmetric","none",1
"0482e44db24f2e4b9a712721521f3e5b","scheduling","symmetric","repeating",4
"0482e44db24f2e4b9a712721521f3e5b","scheduling","symmetric","alternating",4
"0482e44db24f2e4b9a712721521f3e5b","scheduling","symmetric","none",1
"0482e44db24f2e4b9a712721521f3e5b","group project","symmetric","repeating",4
"0482e44db24f2e4b9a712721521f3e5b","group project","symmetric","alternating",4
"0482e44db24f2e4b9a712721521f3e5b","group project","symmetric","none",1
"1e897b2331035436b6f66c49927aa9ff","groceries","symmetric","repeating",6
"1e897b2331035436b6f66c49927aa9ff","groceries","symmetric","alternating",6
"1e897b2331035436b6f66c49927aa9ff","groceries","symmetric","none",2
"1e897b2331035436b6f66c49927aa9ff","gifts","asymmetric","repeating",4
